HPO,t_start,t_end
HP:0003763,13.41667,13.5
HP:0001626,13.33333,13.41666
HP:0011025,13.41667,13.5
HP:0030956,13.25,13.33333
HP:0500015,13.25,13.33333
HP:0003115,13.41667,13.5
HP:0002664,13.66667,13.75
HP:0011793,13.5,13.58333
HP:0009728,13.66667,13.75
HP:0011792,13.66667,13.75
HP:0100242,13.5,13.58333
HP:0030448,13.5,13.58333
HP:0002859,13.66667,13.75
HP:0006779,13.66667,13.75
HP:0002715,11.66667,11.75
HP:0010978,11.58333,11.66666
HP:0100326,11.5,11.58333
HP:0012393,11.5,11.58333
HP:0011446,11.58333,11.66666
HP:0004372,11.66667,11.75
HP:0002329,11.5,11.58333
HP:0000366,11.66667,11.75
HP:0010938,11.58333,11.66666
HP:0000436,11.66667,11.75
HP:0005105,11.58333,11.66666
HP:0000414,11.66667,11.75
HP:0100022,12.5,12.58333
HP:0001288,12.58333,12.66666
HP:0100022,13.5,13.58333
HP:0004305,13.58333,13.66666
HP:0000733,13.5,13.58333
HP:0011024,14.16667,14.25
HP:0012719,14,14.08333
HP:0025270,14.08333,14.16666
HP:0002020,14,14.08333
HP:0000152,13.25,13.33333
HP:0000234,13.25,13.33333
HP:0000271,13.33333,13.41666
HP:0000153,13.33333,13.41666
HP:0031815,13.41667,13.5
HP:0100755,13.25,13.33333
HP:0003781,13.25,13.33333
HP:0002307,13.33333,13.41666
HP:0000478,11.66667,11.75
HP:0012373,11.5,11.58333
HP:0000496,11.66667,11.75
HP:0000549,11.5,11.58333
HP:0000486,11.58333,11.66666
HP:0020049,11.5,11.58333
HP:0032012,11.58333,11.66666
HP:0000577,11.66667,11.75
HP:0032443,13.83333,13.91666
HP:0032316,13.83333,13.91666
HP:0000478,13.5,13.58333
HP:0012372,13.58333,13.66666
HP:0004329,13.58333,13.66666
HP:0001098,13.66667,13.75
HP:0000479,13.58333,13.66666
HP:0001103,13.58333,13.66666
HP:0030506,13.58333,13.66666
HP:0030500,13.66667,13.75
HP:0007677,13.5,13.58333
HP:0033127,11.5,11.58333
HP:0003549,11.66667,11.75
HP:0009124,11.66667,11.75
HP:0002664,11.58333,11.66666
HP:0011793,11.66667,11.75
HP:0200013,11.5,11.58333
HP:0012031,11.66667,11.75
HP:0012032,11.58333,11.66666
HP:0025031,13.5,13.58333
HP:0011024,13.5,13.58333
HP:0025032,13.5,13.58333
HP:0012719,13.66667,13.75
HP:0025270,13.66667,13.75
HP:0002020,13.66667,13.75
HP:0001871,11.58333,11.66666
HP:0001892,11.58333,11.66666
HP:0001626,11.66667,11.75
HP:0002597,11.58333,11.66666
HP:0011354,11.66667,11.75
HP:0011276,11.5,11.58333
HP:0001933,11.5,11.58333
HP:0000978,11.5,11.58333
HP:0003549,12.5,12.58333
HP:0009124,12.58333,12.66666
HP:0002664,12.66667,12.75
HP:0011793,12.58333,12.66666
HP:0200013,12.58333,12.66666
HP:0012031,12.58333,12.66666
HP:0012032,12.5,12.58333
HP:0002086,13.91667,14
HP:0002795,13.91667,14
HP:0002793,13.75,13.83333
HP:0002883,13.75,13.83333
HP:0001871,12.58333,12.66666
HP:0001892,12.5,12.58333
HP:0001626,12.5,12.58333
HP:0002597,12.66667,12.75
HP:0001574,12.58333,12.66666
HP:0000951,12.66667,12.75
HP:0011121,12.5,12.58333
HP:0011354,12.58333,12.66666
HP:0011276,12.66667,12.75
HP:0001933,12.5,12.58333
HP:0000978,12.58333,12.66666
HP:0040083,12.5,12.58333
HP:0001250,13.58333,13.66666
HP:0004305,11.66667,11.75
HP:0000504,11.66667,11.75
HP:0000551,11.58333,11.66666
HP:0007641,11.58333,11.66666
HP:0000642,11.58333,11.66666
HP:0011519,11.5,11.58333
HP:0011520,11.66667,11.75
HP:0033127,13.41667,13.5
HP:0003011,13.41667,13.5
HP:0011804,13.41667,13.5
HP:0003808,13.25,13.33333
HP:0001252,13.41667,13.5
HP:0002254,14.08333,14.16666
HP:0001298,14,14.08333
HP:0011024,13.75,13.83333
HP:0012719,13.75,13.83333
HP:0025270,13.91667,14
HP:0002020,13.91667,14
HP:0033127,13.91667,14
HP:0003011,13.75,13.83333
HP:0011804,13.83333,13.91666
HP:0003808,13.75,13.83333
HP:0001252,13.91667,14
HP:0000005,12.5,12.58333
HP:0003745,12.58333,12.66666
HP:0100022,13.25,13.33333
HP:0001288,13.33333,13.41666
HP:0000478,13.91667,14
HP:0012372,13.75,13.83333
HP:0004329,13.83333,13.91666
HP:0001098,13.91667,14
HP:0000479,13.91667,14
HP:0001103,13.91667,14
HP:0030506,13.91667,14
HP:0030500,13.91667,14
HP:0007677,13.83333,13.91666
HP:0000707,13.91667,14
HP:0012638,13.91667,14
HP:0011446,13.83333,13.91666
HP:0012759,13.83333,13.91666
HP:0001249,13.75,13.83333
HP:0025031,13.33333,13.41666
HP:0011024,13.25,13.33333
HP:0025032,13.33333,13.41666
HP:0012719,13.25,13.33333
HP:0025270,13.41667,13.5
HP:0002020,13.33333,13.41666
HP:0000951,13.66667,13.75
HP:0011121,13.58333,13.66666
HP:0011355,13.66667,13.75
HP:0003764,13.66667,13.75
HP:0025142,13.5,13.58333
HP:0012378,13.5,13.58333
HP:0000152,14.16667,14.25
HP:0000234,14,14.08333
HP:0000271,14.16667,14.25
HP:0000153,14,14.08333
HP:0031815,14,14.08333
HP:0100755,14,14.08333
HP:0003781,14,14.08333
HP:0002307,14.08333,14.16666
HP:0002715,14.08333,14.16666
HP:0010978,14.08333,14.16666
HP:0100326,14,14.08333
HP:0012393,14.16667,14.25
HP:0002086,12.66667,12.75
HP:0002795,12.5,12.58333
HP:0002793,12.5,12.58333
HP:0002883,12.58333,12.66666
HP:0002360,13.5,13.58333
HP:0003763,13.66667,13.75
HP:0040083,11.66667,11.75
HP:0002017,13.75,13.83333
HP:0002013,13.83333,13.91666
HP:0004372,12.66667,12.75
HP:0002329,12.58333,12.66666
HP:0001250,11.5,11.58333
HP:0002197,11.5,11.58333
HP:0020219,11.5,11.58333
HP:0032677,11.58333,11.66666
HP:0000001,11.91667,12
HP:0000924,11.58333,11.66666
HP:0011842,11.5,11.58333
HP:0009121,11.58333,11.66666
HP:0000925,11.66667,11.75
HP:0010674,11.5,11.58333
HP:0002650,11.66667,11.75
HP:0001626,14,14.08333
HP:0011025,14.16667,14.25
HP:0030956,14,14.08333
HP:0500015,14.08333,14.16666
HP:0003115,14,14.08333
HP:0011446,14,14.08333
HP:0012759,14.08333,14.16666
HP:0001249,14.08333,14.16666
HP:0002342,14.08333,14.16666
HP:0000708,13.83333,13.91666
HP:0000152,13.91667,14
HP:0000234,13.91667,14
HP:0000271,13.91667,14
HP:0000153,13.91667,14
HP:0031815,13.91667,14
HP:0100755,13.91667,14
HP:0003781,13.91667,14
HP:0002307,13.83333,13.91666
HP:0033127,14.16667,14.25
HP:0003011,14,14.08333
HP:0002664,14.16667,14.25
HP:0011793,14,14.08333
HP:0009728,14,14.08333
HP:0011792,14.16667,14.25
HP:0100242,14,14.08333
HP:0030448,14.16667,14.25
HP:0002859,14.08333,14.16666
HP:0006779,14.16667,14.25
HP:0012759,11.66667,11.75
HP:0001249,11.5,11.58333
HP:0032443,12.5,12.58333
HP:0032316,12.66667,12.75
HP:0025142,14,14.08333
HP:0012378,14,14.08333
HP:0002086,11.5,11.58333
HP:0002795,11.5,11.58333
HP:0002793,11.5,11.58333
HP:0002883,11.66667,11.75
HP:0002360,14.08333,14.16666
HP:0003763,14.16667,14.25
HP:0000924,12.5,12.58333
HP:0011842,12.5,12.58333
HP:0009121,12.66667,12.75
HP:0000925,12.58333,12.66666
HP:0010674,12.66667,12.75
HP:0002650,12.66667,12.75
HP:0000001,12.83333,12.91666
HP:0031826,11.5,11.58333
HP:0002476,11.66667,11.75
HP:0001332,13.66667,13.75
HP:0031466,13.25,13.33333
HP:0100852,13.41667,13.5
HP:0000739,13.25,13.33333
HP:0011804,14.08333,14.16666
HP:0003808,14,14.08333
HP:0001252,14,14.08333
HP:0008936,14.08333,14.16666
HP:0001337,11.58333,11.66666
HP:0001332,13.41667,13.5
HP:0002664,13.75,13.83333
HP:0011793,13.83333,13.91666
HP:0009728,13.91667,14
HP:0011792,13.75,13.83333
HP:0100242,13.75,13.83333
HP:0030448,13.75,13.83333
HP:0002859,13.75,13.83333
HP:0006779,13.91667,14
HP:0001249,12.66667,12.75
HP:0002342,12.58333,12.66666
HP:0001574,14.16667,14.25
HP:0000951,14.16667,14.25
HP:0011121,14.08333,14.16666
HP:0011355,14.08333,14.16666
HP:0003764,14.16667,14.25
HP:0002360,13.91667,14
HP:0003763,13.75,13.83333
HP:0011458,13.58333,13.66666
HP:0002019,13.5,13.58333
HP:0001574,13.83333,13.91666
HP:0011138,13.75,13.83333
HP:0001595,13.83333,13.91666
HP:0010720,13.75,13.83333
HP:0011361,13.91667,14
HP:0010721,13.83333,13.91666
HP:0002236,13.75,13.83333
HP:0012531,11.5,11.58333
HP:0006536,12.66667,12.75
HP:0006510,12.66667,12.75
HP:0001298,12.58333,12.66666
HP:0012443,12.58333,12.66666
HP:0100547,12.5,12.58333
HP:0002060,12.66667,12.75
HP:0002977,12.66667,12.75
HP:0007364,12.66667,12.75
HP:0000152,12.66667,12.75
HP:0000234,12.66667,12.75
HP:0000929,12.5,12.58333
HP:0000240,12.58333,12.66666
HP:0040195,12.58333,12.66666
HP:0000252,12.5,12.58333
HP:0012823,12.58333,12.66666
HP:0025280,12.5,12.58333
HP:0025281,12.58333,12.66666
HP:0025142,13.33333,13.41666
HP:0012378,13.33333,13.41666
HP:0008936,13.75,13.83333
HP:0011446,13.33333,13.41666
HP:0012759,13.25,13.33333
HP:0001249,13.25,13.33333
HP:0002342,13.33333,13.41666
HP:0002342,11.66667,11.75
HP:0001012,12.66667,12.75
HP:0002014,13.75,13.83333
HP:0025142,12.66667,12.75
HP:0012378,12.58333,12.66666
HP:0002069,11.58333,11.66666
HP:0100022,14,14.08333
HP:0004305,14.16667,14.25
HP:0000733,14.16667,14.25
HP:0000001,12.33333,12.41666
HP:0011442,11.5,11.58333
HP:0002493,11.58333,11.66666
HP:0003011,11.58333,11.66666
HP:0011804,11.5,11.58333
HP:0003808,11.58333,11.66666
HP:0001276,11.5,11.58333
HP:0001257,11.66667,11.75
HP:0001264,11.5,11.58333
HP:0031826,12.58333,12.66666
HP:0002476,12.66667,12.75
HP:0012823,11.66667,11.75
HP:0025280,11.5,11.58333
HP:0025281,11.5,11.58333
HP:0002019,14,14.08333
HP:0032443,13.66667,13.75
HP:0032316,13.58333,13.66666
HP:0020221,11.66667,11.75
HP:0031466,13.5,13.58333
HP:0100852,13.66667,13.75
HP:0000739,13.58333,13.66666
HP:0001298,11.5,11.58333
HP:0000005,11.66667,11.75
HP:0003745,11.58333,11.66666
HP:0032443,13.33333,13.41666
HP:0002715,13.75,13.83333
HP:0010978,13.75,13.83333
HP:0100326,13.75,13.83333
HP:0012393,13.91667,14
HP:0001298,13.83333,13.91666
HP:0012758,11.66667,11.75
HP:0000750,11.66667,11.75
HP:0002167,11.66667,11.75
HP:0001344,11.5,11.58333
HP:0002376,12.66667,12.75
HP:0000271,12.66667,12.75
HP:0000366,12.5,12.58333
HP:0010938,12.66667,12.75
HP:0000436,12.66667,12.75
HP:0005105,12.5,12.58333
HP:0000414,12.58333,12.66666
HP:0001250,14.08333,14.16666
HP:0002527,11.5,11.58333
HP:0020110,12.58333,12.66666
HP:0001288,13.58333,13.66666
HP:0012531,12.66667,12.75
HP:0100022,13.75,13.83333
HP:0001288,13.91667,14
HP:0032443,14,14.08333
HP:0032316,14,14.08333
HP:0002086,14.08333,14.16666
HP:0002795,14.08333,14.16666
HP:0002793,14,14.08333
HP:0002883,14,14.08333
HP:0010985,11.58333,11.66666
HP:0001417,11.66667,11.75
HP:0001423,11.66667,11.75
HP:0008936,13.25,13.33333
HP:0004305,12.66667,12.75
HP:0012639,11.5,11.58333
HP:0002011,11.5,11.58333
HP:0012443,11.66667,11.75
HP:0100547,11.5,11.58333
HP:0002060,11.5,11.58333
HP:0002977,11.5,11.58333
HP:0007364,11.5,11.58333
HP:0000929,11.5,11.58333
HP:0000240,11.5,11.58333
HP:0040195,11.5,11.58333
HP:0000252,11.66667,11.75
HP:0001250,13.83333,13.91666
HP:0002342,13.75,13.83333
HP:0002376,11.66667,11.75
HP:0004305,13.75,13.83333
HP:0000733,13.91667,14
HP:0031466,13.75,13.83333
HP:0100852,13.75,13.83333
HP:0000739,13.83333,13.91666
HP:0001298,13.5,13.58333
HP:0001288,14.16667,14.25
HP:0032316,13.25,13.33333
HP:0011138,14.08333,14.16666
HP:0001595,14.16667,14.25
HP:0010720,14.16667,14.25
HP:0011361,14,14.08333
HP:0010721,14,14.08333
HP:0002236,14.16667,14.25
HP:0000001,13.16667,13.25
HP:0008936,13.5,13.58333
HP:0000001,12.16667,12.25
HP:0006536,11.66667,11.75
HP:0006510,11.66667,11.75
HP:0001250,12.58333,12.66666
HP:0032101,11.58333,11.66666
HP:0020100,11.58333,11.66666
HP:0031690,11.5,11.58333
HP:0032255,11.66667,11.75
HP:0020102,11.58333,11.66666
HP:0002086,13.58333,13.66666
HP:0002795,13.58333,13.66666
HP:0002793,13.66667,13.75
HP:0002883,13.5,13.58333
HP:0001999,12.5,12.58333
HP:0000324,12.58333,12.66666
HP:0011331,12.58333,12.66666
HP:0001250,13.33333,13.41666
HP:0000478,12.5,12.58333
HP:0012373,12.58333,12.66666
HP:0000539,12.66667,12.75
HP:0000540,12.5,12.58333
HP:0010985,12.58333,12.66666
HP:0001417,12.66667,12.75
HP:0001423,12.58333,12.66666
HP:0001574,13.33333,13.41666
HP:0011138,13.33333,13.41666
HP:0001595,13.25,13.33333
HP:0010720,13.33333,13.41666
HP:0011361,13.33333,13.41666
HP:0010721,13.25,13.33333
HP:0002236,13.25,13.33333
HP:0032316,11.5,11.58333
HP:0000496,12.58333,12.66666
HP:0000549,12.58333,12.66666
HP:0000486,12.5,12.58333
HP:0020049,12.5,12.58333
HP:0032012,12.58333,12.66666
HP:0000577,12.5,12.58333
HP:0011355,12.5,12.58333
HP:0003764,12.58333,12.66666
HP:0002715,12.5,12.58333
HP:0010978,12.5,12.58333
HP:0100326,12.58333,12.66666
HP:0012393,12.66667,12.75
HP:0002269,11.5,11.58333
HP:0002282,11.58333,11.66666
HP:0000539,11.5,11.58333
HP:0000540,11.66667,11.75
HP:0011458,13.41667,13.5
HP:0002019,13.41667,13.5
HP:0001012,11.58333,11.66666
HP:0002715,13.41667,13.5
HP:0010978,13.41667,13.5
HP:0100326,13.25,13.33333
HP:0012393,13.33333,13.41666
HP:0002664,13.41667,13.5
HP:0011793,13.25,13.33333
HP:0009728,13.33333,13.41666
HP:0011792,13.41667,13.5
HP:0100242,13.41667,13.5
HP:0030448,13.41667,13.5
HP:0002859,13.33333,13.41666
HP:0006779,13.33333,13.41666
HP:0004305,13.25,13.33333
HP:0000733,13.41667,13.5
HP:0001252,11.66667,11.75
HP:0000951,13.83333,13.91666
HP:0011121,13.83333,13.91666
HP:0011355,13.91667,14
HP:0003764,13.91667,14
HP:0000478,14.16667,14.25
HP:0012372,14,14.08333
HP:0004329,14.16667,14.25
HP:0001098,14.16667,14.25
HP:0000479,14,14.08333
HP:0001103,14.08333,14.16666
HP:0030506,14.16667,14.25
HP:0030500,14.08333,14.16666
HP:0007677,14.16667,14.25
HP:0025142,13.75,13.83333
HP:0012378,13.83333,13.91666
HP:0020110,11.66667,11.75
HP:0000001,9.58333,9.66666
HP:0000118,9.66667,9.75
HP:0001939,9.66667,9.75
HP:0012337,9.58333,9.66666
HP:0004370,9.5,9.58333
HP:0001945,9.5,9.58333
HP:0000001,13.41667,13.5
HP:0000001,8.91667,9
HP:0000001,11.33333,11.41666
HP:0000118,11.41667,11.5
HP:0002086,11.41667,11.5
HP:0002795,11.41667,11.5
HP:0002094,11.25,11.33333
HP:0002098,11.33333,11.41666
HP:0000118,12.75,12.83333
HP:0000707,12.91667,13
HP:0012638,12.83333,12.91666
HP:0011446,12.91667,13
HP:0012759,12.91667,13
HP:0001249,12.91667,13
HP:0000001,10.25,10.33333
HP:0025031,12.75,12.83333
HP:0011024,12.83333,12.91666
HP:0025033,12.83333,12.91666
HP:0012718,12.83333,12.91666
HP:0002242,12.83333,12.91666
HP:0002566,12.75,12.83333
HP:0000001,8.58333,8.66666
HP:0000118,8.5,8.58333
HP:0025142,8.5,8.58333
HP:0012531,8.5,8.58333
HP:0000001,10.66667,10.75
HP:0000118,10.58333,10.66666
HP:0000707,10.5,10.58333
HP:0012639,10.58333,10.66666
HP:0012757,10.5,10.58333
HP:0002450,10.58333,10.66666
HP:0002011,10.58333,10.66666
HP:0007367,10.5,10.58333
HP:0007373,10.66667,10.75
HP:0007354,10.5,10.58333
HP:0001507,9.5,9.58333
HP:0004323,9.66667,9.75
HP:0004325,9.66667,9.75
HP:0001518,9.5,9.58333
HP:0025031,10.58333,10.66666
HP:0025032,10.5,10.58333
HP:0011458,10.66667,10.75
HP:0002019,10.58333,10.66666
HP:0000118,8.75,8.83333
HP:0000152,8.75,8.83333
HP:0000234,8.83333,8.91666
HP:0000271,8.75,8.83333
HP:0001999,8.75,8.83333
HP:0000324,8.75,8.83333
HP:0011331,8.91667,9
HP:0000707,11.25,11.33333
HP:0012638,11.33333,11.41666
HP:0000708,11.25,11.33333
HP:0100851,11.33333,11.41666
HP:0000737,11.41667,11.5
HP:0025142,10.5,10.58333
HP:0012531,10.66667,10.75
HP:0012758,12.75,12.83333
HP:0000750,12.83333,12.91666
HP:0001626,10.5,10.58333
HP:0011025,10.58333,10.66666
HP:0030956,10.58333,10.66666
HP:0011675,10.5,10.58333
HP:0001626,9.5,9.58333
HP:0011025,9.66667,9.75
HP:0031657,9.66667,9.75
HP:0030148,9.5,9.58333
HP:0000001,10.83333,10.91666
HP:0000118,10.75,10.83333
HP:0025142,10.83333,10.91666
HP:0012378,10.75,10.83333
HP:0000707,10.91667,11
HP:0012638,10.83333,10.91666
HP:0100022,10.83333,10.91666
HP:0004305,10.83333,10.91666
HP:0025142,9.58333,9.66666
HP:0012531,9.58333,9.66666
HP:0001871,11.41667,11.5
HP:0001872,11.33333,11.41666
HP:0011873,11.33333,11.41666
HP:0001873,11.33333,11.41666
HP:0011874,11.33333,11.41666
HP:0012638,10.5,10.58333
HP:0012759,10.5,10.58333
HP:0012758,10.58333,10.66666
HP:0000750,10.5,10.58333
HP:0002474,10.58333,10.66666
HP:0000152,9.66667,9.75
HP:0000234,9.5,9.58333
HP:0000271,9.5,9.58333
HP:0001999,9.5,9.58333
HP:0000324,9.66667,9.75
HP:0011331,9.66667,9.75
HP:0030680,10.58333,10.66666
HP:0001627,10.66667,10.75
HP:0001637,10.58333,10.66666
HP:0001638,10.5,10.58333
HP:0032443,10.66667,10.75
HP:0032316,10.58333,10.66666
HP:0001939,10.66667,10.75
HP:0012337,10.66667,10.75
HP:0004370,10.5,10.58333
HP:0001945,10.5,10.58333
HP:0025031,11.25,11.33333
HP:0011024,11.41667,11.5
HP:0025033,11.41667,11.5
HP:0012718,11.25,11.33333
HP:0002242,11.33333,11.41666
HP:0002566,11.41667,11.5
HP:0002664,10.5,10.58333
HP:0011442,11.25,11.33333
HP:0002493,11.25,11.33333
HP:0033127,11.41667,11.5
HP:0003011,11.25,11.33333
HP:0011804,11.25,11.33333
HP:0003808,11.41667,11.5
HP:0001276,11.41667,11.5
HP:0001257,11.25,11.33333
HP:0001264,11.41667,11.5
HP:0000153,8.91667,9
HP:0031816,8.75,8.83333
HP:0000163,8.75,8.83333
HP:0000174,8.83333,8.91666
HP:0000218,8.91667,9
HP:0100022,12.91667,13
HP:0001288,12.83333,12.91666
HP:0002527,12.83333,12.91666
HP:0001626,12.75,12.83333
HP:0011025,12.75,12.83333
HP:0031657,12.83333,12.91666
HP:0030148,12.75,12.83333
HP:0002086,12.91667,13
HP:0012252,12.75,12.83333
HP:0002088,12.83333,12.91666
HP:0011947,12.75,12.83333
HP:0002715,12.83333,12.91666
HP:0010978,12.91667,13
HP:0012647,12.91667,13
HP:0012649,12.75,12.83333
HP:0002090,12.91667,13
HP:0000152,10.83333,10.91666
HP:0000234,10.83333,10.91666
HP:0000271,10.75,10.83333
HP:0000153,10.91667,11
HP:0031816,10.75,10.83333
HP:0000163,10.83333,10.91666
HP:0000164,10.83333,10.91666
HP:0011061,10.91667,11
HP:0000670,10.83333,10.91666
HP:0025142,11.41667,11.5
HP:0012531,11.25,11.33333
HP:0025031,10.91667,11
HP:0025032,10.83333,10.91666
HP:0011458,10.91667,11
HP:0002017,10.83333,10.91666
HP:0002013,10.91667,11
HP:0011446,10.58333,10.66666
HP:0100543,10.58333,10.66666
HP:0001268,10.5,10.58333
HP:0000726,10.5,10.58333
HP:0001999,10.75,10.83333
HP:0000324,10.91667,11
HP:0011331,10.75,10.83333
HP:0000001,12.5,12.58333
HP:0025031,9.58333,9.66666
HP:0004298,9.58333,9.66666
HP:0010866,9.66667,9.75
HP:0000707,9.66667,9.75
HP:0012638,9.5,9.58333
HP:0012759,9.66667,9.75
HP:0012758,9.66667,9.75
HP:0000750,9.58333,9.66666
HP:0002474,9.58333,9.66666
HP:0000707,8.75,8.83333
HP:0012638,8.91667,9
HP:0100022,8.83333,8.91666
HP:0031826,8.75,8.83333
HP:0002476,8.91667,9
HP:0001507,10.58333,10.66666
HP:0004323,10.66667,10.75
HP:0004324,10.5,10.58333
HP:0000001,11,11.08333
HP:0000118,11.16667,11.25
HP:0000707,11,11.08333
HP:0012638,11.08333,11.16666
HP:0001250,11,11.08333
HP:0002715,10.91667,11
HP:0010978,10.91667,11
HP:0032101,10.75,10.83333
HP:0020100,10.91667,11
HP:0031690,10.75,10.83333
HP:0032255,10.83333,10.91666
HP:0020102,10.91667,11
HP:0001507,11.33333,11.41666
HP:0004323,11.25,11.33333
HP:0004325,11.41667,11.5
HP:0001518,11.33333,11.41666
HP:0001250,12.75,12.83333
HP:0025032,11.25,11.33333
HP:0011458,11.41667,11.5
HP:0002017,11.25,11.33333
HP:0002013,11.33333,11.41666
HP:0032443,10.83333,10.91666
HP:0000366,9.66667,9.75
HP:0001742,9.66667,9.75
HP:0100022,9.58333,9.66666
HP:0031826,9.5,9.58333
HP:0002476,9.66667,9.75
HP:0002715,11.25,11.33333
HP:0010978,11.25,11.33333
HP:0100326,11.33333,11.41666
HP:0012393,11.33333,11.41666
HP:0002664,9.5,9.58333
HP:0012719,11.33333,11.41666
HP:0004796,11.33333,11.41666
HP:0005214,11.33333,11.41666
HP:0000818,12.75,12.83333
HP:0000820,12.91667,13
HP:0002926,12.91667,13
HP:0000821,12.83333,12.91666
HP:0025031,8.91667,9
HP:0025032,8.91667,9
HP:0011458,8.83333,8.91666
HP:0002019,8.75,8.83333
HP:0031826,10.91667,11
HP:0002476,10.91667,11
HP:0001626,8.91667,9
HP:0011025,8.83333,8.91666
HP:0031657,8.75,8.83333
HP:0030148,8.83333,8.91666
HP:0032443,8.91667,9
HP:0032316,8.75,8.83333
HP:0012759,11.25,11.33333
HP:0012758,11.33333,11.41666
HP:0001263,11.25,11.33333
HP:0000750,11.41667,11.5
HP:0032316,10.83333,10.91666
HP:0000001,12.25,12.33333
HP:0032101,12.75,12.83333
HP:0020100,12.83333,12.91666
HP:0031690,12.75,12.83333
HP:0032255,12.75,12.83333
HP:0020102,12.83333,12.91666
HP:0032443,12.75,12.83333
HP:0000478,10.91667,11
HP:0012373,10.83333,10.91666
